cod,cod_description,id_provincia,provincia_descripcion
1000,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1001,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1002,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1003,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1004,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1005,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1006,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1007,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1008,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1009,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1010,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1011,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1012,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1013,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1014,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1015,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1016,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1017,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1018,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1019,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1020,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1021,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1022,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1023,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1024,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1025,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1026,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1027,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1028,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1029,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1030,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1031,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1032,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1033,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1034,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1035,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1036,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1037,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1038,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1039,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1040,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1041,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1042,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1043,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1044,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1045,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1046,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1047,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1048,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1049,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1050,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1051,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1052,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1053,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1054,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1055,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1056,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1057,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1058,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1059,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1060,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1061,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1062,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1063,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1064,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1065,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1066,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1067,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1068,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1069,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1070,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1071,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1072,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1073,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1074,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1075,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1076,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1077,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1078,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1079,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1080,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1081,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1082,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1083,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1084,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1085,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1086,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1087,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1088,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1089,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1090,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1091,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1092,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1093,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1094,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1095,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1096,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1097,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1098,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1099,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1100,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1101,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1102,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1103,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1104,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1105,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1106,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1107,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1108,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1109,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1110,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1111,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1112,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
